id;event_type;date_added;source_id;source_entity;user_name;user_last_name
1;CREATE;2021-07-14;95482;CONTACT;cross-platform Borders;portals
2;CREATE;2021-07-14;81471;SCHEDULEDTRANSACTION;Cambridgeshire Morado;back-end Account
3;LICENSE_PURCHASED;2021-07-14;16562;TRANSACTION;homogénea architectures;monetize
4;POSSIBLE_TRANSACTION_ADDED_EMAIL;2021-07-14;28155;LICENSE;Pollo Paradigma;Corporativo connecting up
5;DELETE;2021-07-14;26461;LICENSE;Hormigon maximize Metal;quantify direccional Increible
6;GET;2021-07-14;94531;CONTACT;Polígono Card Bedfordshire;Avon Metal
7;POSSIBLE_TRANSACTION_ADDED_EMAIL;2021-07-14;50303;TRANSACTION;deposit;Operaciones
8;CREATE;2021-07-14;4971;CONTACT;Plástico Bicicleta transform;real-time Ordenador International
9;TRANSACTION_SENT;2021-07-14;74472;TRANSACTION;multimedia encriptar;THX overriding
10;REPORT_IS_READY;2021-07-14;12993;TRANSACTION;Acero;Toallas Sorprendente
